date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:09	16053/16053	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20May%202026%2016:29:07%20GMT	https://dianadahrepsi.lovable.app/	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/index.html	(from )
13:29:09	5310/5310	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2016:29:07%20GMT	https://dianadahrepsi.lovable.app/robots.txt		(from )
13:29:10	1325537/1325537	---M--	200	added ('OK')	image/jpeg	date:Sun,%2024%20May%202026%2016:29:08%20GMT	https://dianadahrepsi.lovable.app/assets/diana-jt5WeX-T.jpg	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/assets/diana-jt5WeX-T.jpg	(from https://dianadahrepsi.lovable.app/)
13:29:11	71932/71932	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20May%202026%2016:29:09%20GMT	https://dianadahrepsi.lovable.app/assets/styles-B1BScsnq.css	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/assets/styles-B1BScsnq.css	(from https://dianadahrepsi.lovable.app/)
13:29:12	179904/179904	---M--	200	added ('OK')	image/png	etag:%2223171e5acf9d38d234dfe7eeebc18f82%22	https://pub-bb2e103a32db4e198524a2e9ed8f35b4.r2.dev/9afa425a-4919-4115-99bd-843621edf976/id-preview-72014647--7cb0c48d-1c29-4bfb-9a80-a5fd71f036d9.lovable.app-1779638821394.png	C:/My%20Web%20Sites/DianaPsi/pub-bb2e103a32db4e198524a2e9ed8f35b4.r2.dev/9afa425a-4919-4115-99bd-843621edf976/id-preview-72014647--7cb0c48d-1c29-4bfb-9a80-a5fd71f036d9.lovable.app-1779638821394.png	(from https://dianadahrepsi.lovable.app/)
13:29:13	350548/350548	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2024%20May%202026%2016:29:11%20GMT	https://dianadahrepsi.lovable.app/assets/index-CKiS-S99.js	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/assets/index-CKiS-S99.js	(from https://dianadahrepsi.lovable.app/)
13:29:14	4714/4714	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2024%20May%202026%2016:29:12%20GMT	https://dianadahrepsi.lovable.app/assets/index-DtnJLfcL.js	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/assets/index-DtnJLfcL.js	(from https://dianadahrepsi.lovable.app/)
13:29:15	378607/378607	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2024%20May%202026%2016:29:12%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/DianaPsi/connect.facebook.net/en_US/fbevents.js	(from https://dianadahrepsi.lovable.app/)
13:29:16	21296/21296	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2024%20May%202026%2016:29:13%20GMT	https://dianadahrepsi.lovable.app/~flock.js	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/_flock.js	(from https://dianadahrepsi.lovable.app/)
13:29:16	13048/13048	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2016:29:15%20GMT	https://dianadahrepsi.lovable.app/t	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/t	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:17	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sun,%2024%20May%202026%2016:29:15%20GMT	https://dianadahrepsi.lovable.app/signals/config/	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:17	13048/13048	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2016:29:16%20GMT	https://dianadahrepsi.lovable.app/e	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/e	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:18	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sun,%2024%20May%202026%2016:29:17%20GMT	https://dianadahrepsi.lovable.app/signals/plugins/	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:19	13048/13048	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2016:29:17%20GMT	https://dianadahrepsi.lovable.app/t.resolvedLink	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/t.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:19	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Sun,%2024%20May%202026%2016:29:17%20GMT	https://dianadahrepsi.lovable.app/schema.org/	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:19	13048/13048	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2016:29:18%20GMT	https://dianadahrepsi.lovable.app/o	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/o	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:20	13048/13048	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2016:29:19%20GMT	https://dianadahrepsi.lovable.app/signals/iwl.js	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:21	13048/13048	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2016:29:20%20GMT	https://dianadahrepsi.lovable.app/signals/iwl.js?pixel_id=	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/signals/iwl0fc5.js	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:22	13048/13048	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2016:29:20%20GMT	https://dianadahrepsi.lovable.app/n.dl	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/n.dl	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:23	13048/13048	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2016:29:21%20GMT	https://dianadahrepsi.lovable.app/n.rl	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/n.rl	(from https://connect.facebook.net/en_US/fbevents.js)
13:29:25	5348/5348	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2024%20May%202026%2016:29:24%20GMT	https://dianadahrepsi.lovable.app/signals/config	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/signals/config	(from https://dianadahrepsi.lovable.app/signals/config/)
13:29:26	5332/5332	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2024%20May%202026%2016:29:24%20GMT	https://dianadahrepsi.lovable.app/signals/plugins	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/signals/plugins	(from https://dianadahrepsi.lovable.app/signals/plugins/)
13:29:27	5332/5332	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2024%20May%202026%2016:29:25%20GMT	https://dianadahrepsi.lovable.app/schema.org	C:/My%20Web%20Sites/DianaPsi/dianadahrepsi.lovable.app/schema.org	(from https://dianadahrepsi.lovable.app/schema.org/)
